,dms_id,protein_name,uniprot_id,dms_name,offset,protein_properties,dms_assay,Ascan_id,ascan_assay,dmsa_id,assumed_compatibility,reason,note
335,urn:mavedb:00000005-a-6,CBS,P35520,CBS_High-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in high vitamin B condition.,cbs_kopecka_tetraala5,Functioning CBS will form tetramers which is quantified from western blot. Experiment is done with or without vitamine B precursor.,urn:mavedb:00000005-a-6@cbs_kopecka_tetraala5,Medium,"One assay measures protein general property, but the other measures a specific one.",
336,urn:mavedb:00000005-a-6,CBS,P35520,CBS_High-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in high vitamin B condition.,cbs_kopecka_tetrabeta0,Functioning CBS will form tetramers which is quantified from western blot. Experiment is done with or without molecules facilitating protein folding that can potentially be used as drugs.,urn:mavedb:00000005-a-6@cbs_kopecka_tetrabeta0,Low,AS assay selects on drug response of the target protein.,Drug-like molecule involved
337,urn:mavedb:00000005-a-6,CBS,P35520,CBS_High-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in high vitamin B condition.,cbs_kopecka_tetrabeta1,Functioning CBS will form tetramers which is quantified from western blot. Experiment is done with or without molecules facilitating protein folding that can potentially be used as drugs.,urn:mavedb:00000005-a-6@cbs_kopecka_tetrabeta1,Low,AS assay selects on drug response of the target protein.,Drug-like molecule involved
338,urn:mavedb:00000005-a-6,CBS,P35520,CBS_High-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in high vitamin B condition.,cbs_kopecka_tetragly0,Functioning CBS will form tetramers which is quantified from western blot. Experiment is done with or without molecules facilitating protein folding that can potentially be used as drugs.,urn:mavedb:00000005-a-6@cbs_kopecka_tetragly0,Low,AS assay selects on drug response of the target protein.,Drug-like molecule involved
339,urn:mavedb:00000005-a-6,CBS,P35520,CBS_High-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in high vitamin B condition.,cbs_kopecka_tetragly7,Functioning CBS will form tetramers which is quantified from western blot. Experiment is done with or without molecules facilitating protein folding that can potentially be used as drugs.,urn:mavedb:00000005-a-6@cbs_kopecka_tetragly7,Low,AS assay selects on drug response of the target protein.,Drug-like molecule involved
340,urn:mavedb:00000005-a-6,CBS,P35520,CBS_High-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in high vitamin B condition.,cbs_kopecka_tetratau0,Functioning CBS will form tetramers which is quantified from western blot. Experiment is done with or without molecules facilitating protein folding that can potentially be used as drugs.,urn:mavedb:00000005-a-6@cbs_kopecka_tetratau0,Low,AS assay selects on drug response of the target protein.,Drug-like molecule involved
341,urn:mavedb:00000005-a-6,CBS,P35520,CBS_High-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in high vitamin B condition.,cbs_kopecka_tetratau5,Functioning CBS will form tetramers which is quantified from western blot. Experiment is done with or without molecules facilitating protein folding that can potentially be used as drugs.,urn:mavedb:00000005-a-6@cbs_kopecka_tetratau5,Low,AS assay selects on drug response of the target protein.,Drug-like molecule involved
333,urn:mavedb:00000005-a-6,CBS,P35520,CBS_High-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in high vitamin B condition.,cbs_kruger_activity,Functioning CBS catalyze production of cyestine.,urn:mavedb:00000005-a-6@cbs_kruger_activity,Medium,"One assay measures protein general property, but the other measures a specific one.",
356,urn:mavedb:00000005-a-6,CBS,P35520,CBS_High-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in high vitamin B condition.,cbs_singh_0,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is donw under a specific vitamin B concentration.,urn:mavedb:00000005-a-6@cbs_singh_0,High,Assays both select on protein general property.,
357,urn:mavedb:00000005-a-6,CBS,P35520,CBS_High-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in high vitamin B condition.,cbs_singh_05,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is donw under a specific vitamin B concentration.,urn:mavedb:00000005-a-6@cbs_singh_05,High,Assays both select on protein general property.,
358,urn:mavedb:00000005-a-6,CBS,P35520,CBS_High-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in high vitamin B condition.,cbs_singh_1,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is donw under a specific vitamin B concentration.,urn:mavedb:00000005-a-6@cbs_singh_1,High,Assays both select on protein general property.,
359,urn:mavedb:00000005-a-6,CBS,P35520,CBS_High-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in high vitamin B condition.,cbs_singh_2,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is donw under a specific vitamin B concentration.,urn:mavedb:00000005-a-6@cbs_singh_2,High,Assays both select on protein general property.,
360,urn:mavedb:00000005-a-6,CBS,P35520,CBS_High-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in high vitamin B condition.,cbs_singh_4,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is donw under a specific vitamin B concentration.,urn:mavedb:00000005-a-6@cbs_singh_4,High,Assays both select on protein general property.,
361,urn:mavedb:00000005-a-6,CBS,P35520,CBS_High-B6,0,It is an enzyme that transforms serine to cysteine facilitated by vitamin B. It is essential when no other cysteine source is available.,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is in high vitamin B condition.,cbs_singh_400,Functioning CBS is essential for the growth of yeast without other cysteine source. The experiment is donw under a specific vitamin B concentration.,urn:mavedb:00000005-a-6@cbs_singh_400,High,Assays both select on protein general property.,
89,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_blanpain_239,Functioning CCR5 binds to simian virus env which is labelled and quantified.,urn:mavedb:00000047-a-1@ccr5_blanpain_239,Low,Only one of the assay involves in pathogen infection through the target protein.,
86,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_blanpain_exp,CCR5 surface expression measured by 2D7.,urn:mavedb:00000047-a-1@ccr5_blanpain_exp,High,Assays select on similar specific protein property.,
88,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_blanpain_jrfl,Functioning CCR5 binds to HIV virus (JRFL) env which is labelled and quantified.,urn:mavedb:00000047-a-1@ccr5_blanpain_jrfl,Low,Only one of the assay involves in pathogen infection through the target protein.,
87,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_blanpain_mip1b,Functioning CCR5 binds to natrual ligand which is labelled and quantified.,urn:mavedb:00000047-a-1@ccr5_blanpain_mip1b,Medium,Assays select on different yet specific protein properties.,
73,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_dragic_ada,Functioning CCR5 is infected by HIV virus (ADA) which will activate luciferase reporter.,urn:mavedb:00000047-a-1@ccr5_dragic_ada,Low,Only one of the assay involves in pathogen infection through the target protein.,
75,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_dragic_dh123,Functioning CCR5 is infected by HIV virus (DH123) which will activate luciferase reporter.,urn:mavedb:00000047-a-1@ccr5_dragic_dh123,Low,Only one of the assay involves in pathogen infection through the target protein.,
74,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_dragic_jrfl,Functioning CCR5 is infected by HIV virus (JRFL) which will activate luciferase reporter.,urn:mavedb:00000047-a-1@ccr5_dragic_jrfl,Low,Only one of the assay involves in pathogen infection through the target protein.,
79,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_dragic_jrfl_bind,Functioning CCR5 binds to HIV virus (JRFL) env and cause fusion of cells which is further measured by resonance in their labels.,urn:mavedb:00000047-a-1@ccr5_dragic_jrfl_bind,Low,Only one of the assay involves in pathogen infection through the target protein.,
80,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_dragic_jrfl_bindenhan,Functioning CCR5 binds to HIV virus (JRFL) env and cause fusion of cells which is further measured by resonance in their labels.,urn:mavedb:00000047-a-1@ccr5_dragic_jrfl_bindenhan,Low,Only one of the assay involves in pathogen infection through the target protein.,
76,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_dragic_mip1a,Functioning CCR5 is infected by virus which will activate luciferase reporter. Experiment was done with natrual ligand added which may inhibit virus entry.,urn:mavedb:00000047-a-1@ccr5_dragic_mip1a,Low,Only one of the assay involves in pathogen infection through the target protein.,
77,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_dragic_mip1b,Functioning CCR5 is infected by virus which will activate luciferase reporter. Experiment was done with natrual ligand added which may inhibit virus entry.,urn:mavedb:00000047-a-1@ccr5_dragic_mip1b,Low,Only one of the assay involves in pathogen infection through the target protein.,
78,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_dragic_pantes,Functioning CCR5 is infected by virus which will activate luciferase reporter. Experiment was done with natrual ligand added which may inhibit virus entry.,urn:mavedb:00000047-a-1@ccr5_dragic_pantes,Low,Only one of the assay involves in pathogen infection through the target protein.,
72,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_dragic_vir,Functioning CCR5 is infected by pseudovirus which will activate luciferase reporter. Experiment is done under entry-inhibition compound.,urn:mavedb:00000047-a-1@ccr5_dragic_vir,Low,Only one of the assay involves in pathogen infection through the target protein.,
62,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_nave_227r,CCR5 surface expression measured by 227R.,urn:mavedb:00000047-a-1@ccr5_nave_227r,High,Assays select on similar specific protein property.,
66,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_nave_2d7,CCR5 surface expression measured by 2D7.,urn:mavedb:00000047-a-1@ccr5_nave_2d7,High,Assays select on similar specific protein property.,
63,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_nave_mip1a,Functioning CCR5 binds to natrual ligand which is labelled and quantified.,urn:mavedb:00000047-a-1@ccr5_nave_mip1a,Medium,Assays select on different yet specific protein properties.,
65,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_nave_mip2,Functioning CCR5 binds to non-natrual ligand which is labelled and quantified.,urn:mavedb:00000047-a-1@ccr5_nave_mip2,Low,AS assay selects on drug response of the target protein.,Drug-like molecule involved
64,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_nave_rantes,Functioning CCR5 binds to natrual ligand which is labelled and quantified.,urn:mavedb:00000047-a-1@ccr5_nave_rantes,Medium,Assays select on different yet specific protein properties.,
67,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_rabut_ada,Functioning CCR5 is infected by HIV virus (ADA) which will activate luciferase reporter.,urn:mavedb:00000047-a-1@ccr5_rabut_ada,Low,Only one of the assay involves in pathogen infection through the target protein.,
70,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_rabut_dh123,Functioning CCR5 is infected by HIV virus (DH123) which will activate luciferase reporter.,urn:mavedb:00000047-a-1@ccr5_rabut_dh123,Low,Only one of the assay involves in pathogen infection through the target protein.,
68,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_rabut_exp,CCR5 expression level is measured by its linked tag in cell lysis.,urn:mavedb:00000047-a-1@ccr5_rabut_exp,High,Assays select on similar specific protein property.,
71,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_rabut_gun1,Functioning CCR5 is infected by HIV virus (GUN1) which will activate luciferase reporter.,urn:mavedb:00000047-a-1@ccr5_rabut_gun1,Low,Only one of the assay involves in pathogen infection through the target protein.,
69,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_rabut_jrfl,Functioning CCR5 is infected by HIV virus (JRFL) which will activate luciferase reporter.,urn:mavedb:00000047-a-1@ccr5_rabut_jrfl,Low,Only one of the assay involves in pathogen infection through the target protein.,
90,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_tan_exp,CCR5 surface expression measured by antibody.,urn:mavedb:00000047-a-1@ccr5_tan_exp,High,Assays select on similar specific protein property.,
91,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_tan_jrfl,Functioning CCR5 is infected by pseudovirus which will activate luciferase reporter.,urn:mavedb:00000047-a-1@ccr5_tan_jrfl,Low,Only one of the assay involves in pathogen infection through the target protein.,
92,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_tan_sf162,Functioning CCR5 is infected by pseudovirus which will activate luciferase reporter.,urn:mavedb:00000047-a-1@ccr5_tan_sf162,Low,Only one of the assay involves in pathogen infection through the target protein.,
81,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_zhang_2d7,CCR5 binds to antibody 2D7.,urn:mavedb:00000047-a-1@ccr5_zhang_2d7,High,Assays select on similar specific protein property.,
82,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_zhang_roab12,CCR5 binds to ROAB12 which is a new antibody.,urn:mavedb:00000047-a-1@ccr5_zhang_roab12,Low,AS assay selects on gain of new protein function (novel antibody binding).,Novel antibody
83,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_zhang_roab13,CCR5 binds to ROAB13 which is a new antibody.,urn:mavedb:00000047-a-1@ccr5_zhang_roab13,Low,AS assay selects on gain of new protein function (novel antibody binding).,Novel antibody
84,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_zhang_roab14,CCR5 binds to ROAB14 which is a new antibody.,urn:mavedb:00000047-a-1@ccr5_zhang_roab14,Low,AS assay selects on gain of new protein function (novel antibody binding).,Novel antibody
85,urn:mavedb:00000047-a-1,CCR5,P51681,CCR5-expression,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.","CCR5 is taged with myc. Functioning CCR5 locates on cell surface and can be stained with anti-myc dyes, with further sorting by FACS.",ccr5_zhang_roab18,CCR5 binds to ROAB18 which is a new antibody.,urn:mavedb:00000047-a-1@ccr5_zhang_roab18,Low,AS assay selects on gain of new protein function (novel antibody binding).,Novel antibody
27,urn:mavedb:00000047-b-1,CCR5,P51681,CCR5-2d7-bind,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.",Functioning CCR5 binds to antibody 2D7 (which was also used to indicate CCR5 surface expression in previous studies) and cells are sorted by FACS.,ccr5_blanpain_239,Functioning CCR5 binds to simian virus env which is labelled and quantified.,urn:mavedb:00000047-b-1@ccr5_blanpain_239,Low,Only one of the assay involves in pathogen infection through the target protein.,
24,urn:mavedb:00000047-b-1,CCR5,P51681,CCR5-2d7-bind,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.",Functioning CCR5 binds to antibody 2D7 (which was also used to indicate CCR5 surface expression in previous studies) and cells are sorted by FACS.,ccr5_blanpain_exp,CCR5 surface expression measured by 2D7.,urn:mavedb:00000047-b-1@ccr5_blanpain_exp,High,Assays select on similar specific protein property.,
26,urn:mavedb:00000047-b-1,CCR5,P51681,CCR5-2d7-bind,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.",Functioning CCR5 binds to antibody 2D7 (which was also used to indicate CCR5 surface expression in previous studies) and cells are sorted by FACS.,ccr5_blanpain_jrfl,Functioning CCR5 binds to HIV virus (JRFL) env which is labelled and quantified.,urn:mavedb:00000047-b-1@ccr5_blanpain_jrfl,Low,Only one of the assay involves in pathogen infection through the target protein.,
25,urn:mavedb:00000047-b-1,CCR5,P51681,CCR5-2d7-bind,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.",Functioning CCR5 binds to antibody 2D7 (which was also used to indicate CCR5 surface expression in previous studies) and cells are sorted by FACS.,ccr5_blanpain_mip1b,Functioning CCR5 binds to natrual ligand which is labelled and quantified.,urn:mavedb:00000047-b-1@ccr5_blanpain_mip1b,Medium,Assays select on different yet specific protein properties.,
11,urn:mavedb:00000047-b-1,CCR5,P51681,CCR5-2d7-bind,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.",Functioning CCR5 binds to antibody 2D7 (which was also used to indicate CCR5 surface expression in previous studies) and cells are sorted by FACS.,ccr5_dragic_ada,Functioning CCR5 is infected by HIV virus (ADA) which will activate luciferase reporter.,urn:mavedb:00000047-b-1@ccr5_dragic_ada,Low,Only one of the assay involves in pathogen infection through the target protein.,
13,urn:mavedb:00000047-b-1,CCR5,P51681,CCR5-2d7-bind,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.",Functioning CCR5 binds to antibody 2D7 (which was also used to indicate CCR5 surface expression in previous studies) and cells are sorted by FACS.,ccr5_dragic_dh123,Functioning CCR5 is infected by HIV virus (DH123) which will activate luciferase reporter.,urn:mavedb:00000047-b-1@ccr5_dragic_dh123,Low,Only one of the assay involves in pathogen infection through the target protein.,
12,urn:mavedb:00000047-b-1,CCR5,P51681,CCR5-2d7-bind,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.",Functioning CCR5 binds to antibody 2D7 (which was also used to indicate CCR5 surface expression in previous studies) and cells are sorted by FACS.,ccr5_dragic_jrfl,Functioning CCR5 is infected by HIV virus (JRFL) which will activate luciferase reporter.,urn:mavedb:00000047-b-1@ccr5_dragic_jrfl,Low,Only one of the assay involves in pathogen infection through the target protein.,
17,urn:mavedb:00000047-b-1,CCR5,P51681,CCR5-2d7-bind,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.",Functioning CCR5 binds to antibody 2D7 (which was also used to indicate CCR5 surface expression in previous studies) and cells are sorted by FACS.,ccr5_dragic_jrfl_bind,Functioning CCR5 binds to HIV virus (JRFL) env and cause fusion of cells which is further measured by resonance in their labels.,urn:mavedb:00000047-b-1@ccr5_dragic_jrfl_bind,Low,Only one of the assay involves in pathogen infection through the target protein.,
18,urn:mavedb:00000047-b-1,CCR5,P51681,CCR5-2d7-bind,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.",Functioning CCR5 binds to antibody 2D7 (which was also used to indicate CCR5 surface expression in previous studies) and cells are sorted by FACS.,ccr5_dragic_jrfl_bindenhan,Functioning CCR5 binds to HIV virus (JRFL) env and cause fusion of cells which is further measured by resonance in their labels.,urn:mavedb:00000047-b-1@ccr5_dragic_jrfl_bindenhan,Low,Only one of the assay involves in pathogen infection through the target protein.,
14,urn:mavedb:00000047-b-1,CCR5,P51681,CCR5-2d7-bind,0,"It is the receptor of CCL3/MIP-1-alpha, CCL4/MIP-1-beta and RANTES, and also a coreceptor in HIV infection, with some other functions.",Functioning CCR5 binds to antibody 2D7 (which was also used to indicate CCR5 surface expression in previous studies) and cells are sorted by FACS.,ccr5_dragic_mip1a,Functioning CCR5 is infected by virus which will activate luciferase reporter. Experiment was done with natrual ligand added which may inhibit virus entry.,urn:mavedb:00000047-b-1@ccr5_dragic_mip1a,Low,Only one of the assay involves in pathogen infection through the target protein.,
